,RegionName,Date,HomePrice,SchoolRating,CrimeRate,DesirabilityScore
4554,Pennsylvania,2022-08-01T00:00:00.000,245636.83998161627,5.384719765615046,3.0258201701093563,0.8472767684026636
1413,Arizona,2017-05-01T00:00:00.000,236123.9133567591,4.661334393332254,8.654921020656138,0.8472482311855802
6068,Missouri,2025-02-01T00:00:00.000,248255.3143286537,4.755505630228072,5.431652490886999,0.847232729418999
1540,New Hampshire,2017-07-01T00:00:00.000,259860.6603005769,5.0065450782640255,1.4237545565006076,0.8471482994328692
5809,Michigan,2024-09-01T00:00:00.000,235517.7035488345,4.8559432568144985,7.810145808019444,0.8470885346416124
1463,Arizona,2017-06-01T00:00:00.000,237445.5067979983,4.661334393332254,8.654921020656138,0.8470292858169216
4345,South Dakota,2022-03-01T00:00:00.000,272565.23422659544,4.460629002468522,2.3532806804374244,0.8470211294786598
3555,Illinois,2020-12-01T00:00:00.000,204876.3652456248,5.358720940699641,7.296172539489672,0.8470076229645495
3857,Georgia,2021-06-01T00:00:00.000,254009.7263371252,4.3456902074904065,6.497873633049819,0.8469738932389307
4705,Illinois,2022-11-01T00:00:00.000,242756.8808895737,5.358720940699641,7.296172539489672,0.8468790966185631
5696,North Dakota,2024-06-01T00:00:00.000,261065.51961358087,5.920192987940027,1,0.8468625291013185
4905,Illinois,2023-03-01T00:00:00.000,242471.83824744468,5.358720940699641,7.296172539489672,0.8468384214538488
5886,Nebraska,2024-10-01T00:00:00.000,256541.3493081485,5.421543356991606,2.9055285540704743,0.8468006125280939
3101,Texas,2020-03-01T00:00:00.000,218328.42421156148,5.2401719905547,6.087788578371811,0.8467766968291012
4065,Tennessee,2021-10-01T00:00:00.000,257984.4543316788,4.953234119897388,5.784325637910086,0.8467571614116534
1061,Virginia,2016-10-01T00:00:00.000,246016.11310604247,5.539353859993753,4.611482381530984,0.8467011157695502
5759,Michigan,2024-08-01T00:00:00.000,235278.543826502,4.8559432568144985,7.810145808019444,0.8466894354369172
579,Utah,2015-12-01T00:00:00.000,253310.2845404285,6.075993788577762,3.5425273390036454,0.8466863917641566
